,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
2582,"POLYGON ((2496200 1113100, 2496500 1113100, 2496500 1113400, 2496200 1113400, 2496200 1113100))",2.0,29.0,1412.7,3296.9787435937324,0.5600106641193066,0.2123995849313118,700.2769166666667
2583,"POLYGON ((2496200 1113400, 2496500 1113400, 2496500 1113700, 2496200 1113700, 2496200 1113400))",0.0,1.0,0.0,0.0,,,0.0
2584,"POLYGON ((2496200 1113700, 2496500 1113700, 2496500 1114000, 2496200 1114000, 2496200 1113700))",0.0,4.0,0.0,0.0,,,0.0
2585,"POLYGON ((2496200 1114000, 2496500 1114000, 2496500 1114300, 2496200 1114300, 2496200 1114000))",0.0,29.0,0.0,0.0,,,0.0
2586,"POLYGON ((2496200 1114300, 2496500 1114300, 2496500 1114600, 2496200 1114600, 2496200 1114300))",0.0,41.0,0.0,0.0,,,0.0
2587,"POLYGON ((2496200 1114600, 2496500 1114600, 2496500 1114900, 2496200 1114900, 2496200 1114600))",0.0,15.0,0.0,0.0,,,0.0
2588,"POLYGON ((2496200 1114900, 2496500 1114900, 2496500 1115200, 2496200 1115200, 2496200 1114900))",2.0,92.0,1108.3,368.8423622214058,0.2143625753435695,0.6183289665891606,228.06591666666668
2589,"POLYGON ((2496200 1115200, 2496500 1115200, 2496500 1115500, 2496200 1115500, 2496200 1115200))",16.0,146.0,9206.955542560609,2810.718332397488,0.17392481507839616,0.5689402236861547,1599.1307167530028
2590,"POLYGON ((2496200 1115500, 2496500 1115500, 2496500 1115800, 2496200 1115800, 2496200 1115500))",34.0,84.0,30540.04471291286,9932.284186861465,0.14711632067122765,0.44419370855496393,4411.8581473838185
2591,"POLYGON ((2496200 1115800, 2496500 1115800, 2496500 1116100, 2496200 1116100, 2496200 1115800))",4.0,87.0,5018.9902924047665,2676.556659748422,0.11276653558608352,0.20956040769494885,560.9003048355098
2592,"POLYGON ((2496200 1116100, 2496500 1116100, 2496500 1116400, 2496200 1116400, 2496200 1116100))",0.0,2.0,0.0,0.0,,,0.0
