,idc_abs,heated_area,geometry
13520,57.914162349700916,460.6546020507813,POINT (2502513.371526069 1128795.394327174)
13521,85.58967808532712,710.5813598632812,POINT (2502616.914509728 1128795.394327174)
13522,107.96816909790039,866.3277587890625,POINT (2502720.457493385 1128795.394327174)
13523,103.17180867004396,829.8912963867188,POINT (2502824.000477043 1128795.394327174)
13524,118.70866398620603,932.3463134765624,POINT (2502927.5434607 1128795.394327174)
13525,49.81984876251221,371.8351745605469,POINT (2503031.086444357 1128795.394327174)
13571,5.434770132064818,43.10113143920898,POINT (2507794.063692607 1128795.394327174)
13575,11.940559169769287,63.745906829833984,POINT (2508208.235627237 1128795.394327174)
13576,11.479838075637817,61.61014938354492,POINT (2508311.778610895 1128795.394327174)
13579,18.424359697341917,98.08244323730467,POINT (2508622.407561867 1128795.394327174)
13609,52.9777131729126,397.22174072265625,POINT (2511728.697071595 1128795.394327174)
13610,115.72614279937744,671.760498046875,POINT (2511832.240055253 1128795.394327174)
13611,263.4817187194824,1532.8385009765625,POINT (2511935.78303891 1128795.394327174)
13612,254.78188200378418,1314.78515625,POINT (2512039.326022568 1128795.394327174)
13613,282.115073638916,1417.128662109375,POINT (2512142.869006225 1128795.394327174)
13614,428.9387575073243,2161.268310546875,POINT (2512246.411989883 1128795.394327174)
13615,329.30906369018555,1635.8885498046875,POINT (2512349.954973541 1128795.394327174)
13616,383.1177149658203,1898.3895263671875,POINT (2512453.497957198 1128795.394327174)
13617,336.7059133605957,1757.5152587890625,POINT (2512557.040940856 1128795.394327174)
13618,246.7715479888916,1279.51904296875,POINT (2512660.583924513 1128795.394327174)
13619,216.00564375305174,1179.3031005859375,POINT (2512764.126908171 1128795.394327174)
13687,8.307955580711363,41.371612548828125,POINT (2493194.502996887 1128691.978906739)
13696,101.64264941406249,583.0150146484375,POINT (2494126.389849806 1128691.978906739)
13697,86.72457500457762,492.4325866699218,POINT (2494229.932833463 1128691.978906739)
13698,201.3563023376465,1147.810791015625,POINT (2494333.475817121 1128691.978906739)
13699,61.17761827087402,287.1475830078125,POINT (2494437.018800778 1128691.978906739)
13700,12.634641104698181,57.54363632202149,POINT (2494540.561784436 1128691.978906739)
